FID IID Height
3509 854 0.691485475448513
2492 855 1.01982585735905
2493 856 0.449204778027921
2641 857 NA
2641 858 -0.332486962475193
3442 859 0.581609600568441
3442 860 NA
3144 861 -1.67375282442235
830 862 0.648313649343994
3145 863 1.32650914392813
350 864 -0.37973695791375
350 865 NA
1736 866 -0.854199951328343
1736 867 NA
3569 868 -0.164707255629685
3569 869 NA
694 870 -0.231160547623404
2494 871 0.111498596922984
2494 872 NA
1737 873 0.140771237859718
2642 874 NA
2642 875 0.410296937025084
204 876 0.217541169930437
1626 877 0.562591152777084
831 878 0.332519474254584
351 879 -1.04028210267559
1303 880 0.0540080081826096
3101 881 0.221787715028117
1738 882 -0.255129077172762
1738 437 NA
162 4675 -1.68622784895428
352 438 0.281709038901512
3044 439 -0.986026863849813
2495 440 -0.291081871496799
1739 441 NA
1739 442 -0.231160547623404
3570 443 -0.190442520305169
3570 444 NA
2643 445 -2.36147878499488
324 446 -0.662451714933478
2644 447 0.804109091414822
1181 450 -0.214170782132815
3479 451 1.14197993931375
3091 452 -0.0271971199447457
3146 453 0.0149241733842688
1997 454 0.159365797973926
1997 455 NA
1302 456 -2.98615980221223
3147 457 NA
3147 458 NA
3147 459 0.943476461233394
3113 460 0.856811383507736
1627 461 0.0277280444253396
2645 462 -1.4807378922086
205 463 -0.739122536575749
1998 464 -1.45852681823538
2496 465 NA
2496 466 -0.408357508938807
3148 467 1.4583360564496
1740 468 NA
1740 469 2.41458213068279
1182 470 -0.248597109052439
2276 471 -1.35263147429229
3981 4674 -2.35710615980649
1741 472 -0.515581574627261
3149 473 1.53500687809187
800 474 NA
3443 475 -0.829713692359462
832 476 NA
832 477 0.468305374673159
1999 478 0.768156297090785
2497 479 NA
2497 480 0.386328407475726
353 481 -0.504344838654738
2927 482 0.674735977679638
3150 483 -1.54092190245429
3150 484 NA
3571 486 0.835296652744663
2498 487 NA
2498 488 0.159365797973926
1510 485 0.123255391826512
1510 489 NA
2499 490 -0.296534168151155
2499 491 NA
1742 492 0.212257249039723
1743 493 NA
1743 494 0.861502565716358
3364 495 0.337909190421819
1587 496 -0.434232954795052
2000 497 2.34168559465889
2500 498 -0.837450453559467
2500 499 NA
1628 500 0.346395595769105
1125 501 0.691806900965133
2001 502 -0.206531924076149
2447 503 -1.03931806765144
3114 504 1.57840197776156
2501 505 -0.142505461206453
2646 506 -0.66967074671396
1511 507 -0.733839574162029
1744 508 0.568897074790233
3151 509 -0.190097178034538
3151 510 NA
2002 511 1.17208862470528
2002 512 NA
1439 513 NA
2003 514 -0.19454765930147
2003 515 NA
2502 516 1.64763049405818
1971 517 -0.329346100028748
1971 518 NA
833 519 0.110930834187934
3548 520 0.377583157098945
